== (10,2,0) e=2 X4h=1 : every candidate with its rejection witness ==
a2 a3 c1 c2 bq1 n45 n4 | test | witness
 0  0  2  0  0  15 11 | length_budget | rem=48 not in [9,27]
 0  0  2  0  0  15 12 | length_budget | rem=49 not in [9,27]
 0  0  2  0  0  15 13 | length_budget | rem=50 not in [9,27]
 0  0  2  0  0  15 14 | length_budget | rem=51 not in [9,27]
 0  0  2  0  0  15 15 | length_budget | rem=52 not in [9,27]
 0  0  2  0  0  16  0 | length_budget | rem=32 not in [8,24]
 0  0  2  0  0  16  1 | length_budget | rem=33 not in [8,24]
 0  0  2  0  0  16  2 | length_budget | rem=34 not in [8,24]
 0  0  2  0  0  16  3 | length_budget | rem=35 not in [8,24]
 0  0  2  0  0  16  4 | length_budget | rem=36 not in [8,24]
 0  0  2  0  0  16  5 | length_budget | rem=37 not in [8,24]
 0  0  2  0  0  16  6 | length_budget | rem=38 not in [8,24]
 0  0  2  0  0  16  7 | length_budget | rem=39 not in [8,24]
 0  0  2  0  0  16  8 | length_budget | rem=40 not in [8,24]
 0  0  2  0  0  16  9 | length_budget | rem=41 not in [8,24]
 0  0  2  0  0  16 10 | length_budget | rem=42 not in [8,24]
 0  0  2  0  0  16 11 | length_budget | rem=43 not in [8,24]
 0  0  2  0  0  16 12 | length_budget | rem=44 not in [8,24]
 0  0  2  0  0  16 13 | length_budget | rem=45 not in [8,24]
 0  0  2  0  0  16 14 | length_budget | rem=46 not in [8,24]
 0  0  2  0  0  16 15 | length_budget | rem=47 not in [8,24]
 0  0  2  0  0  16 16 | length_budget | rem=48 not in [8,24]
 0  0  2  0  0  17  0 | length_budget | rem=27 not in [7,21]
 0  0  2  0  0  17  1 | length_budget | rem=28 not in [7,21]
 0  0  2  0  0  17  2 | length_budget | rem=29 not in [7,21]
 0  0  2  0  0  17  3 | length_budget | rem=30 not in [7,21]
 0  0  2  0  0  17  4 | length_budget | rem=31 not in [7,21]
 0  0  2  0  0  17  5 | length_budget | rem=32 not in [7,21]
 0  0  2  0  0  17  6 | length_budget | rem=33 not in [7,21]
 0  0  2  0  0  17  7 | length_budget | rem=34 not in [7,21]
 0  0  2  0  0  17  8 | length_budget | rem=35 not in [7,21]
 0  0  2  0  0  17  9 | length_budget | rem=36 not in [7,21]
 0  0  2  0  0  17 10 | length_budget | rem=37 not in [7,21]
