==============================================================================
LEMMA 6.7 -- cycle-shape exclusion: no type-II cycle in any of the sixteen classes
==============================================================================

[A] TIER 1: the closed-form kill  (all censuses with c2 >= 1, b_q1 = 0)
    cell            a2 a3 c1 c2 | a1 lam | N_lo N_hi | verdict
    (20,0,0) e=9 X4h=0  3  1  0  2 | 15   5 |   27   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  3  2  0  1 | 14   6 |   29   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  4  0  3  1 | 15   5 |   22   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  4  0  1  2 | 15   5 |   25   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  4  1  1  1 | 14   6 |   26   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  5  0  2  1 | 14   6 |   24   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  5  0  0  2 | 14   6 |   26   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  5  1  0  1 | 13   7 |   28   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  6  0  1  1 | 13   7 |   25   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  7  0  0  1 | 12   8 |   27   16 | DEAD  (N_lo > N_hi)
    (15,1,0) e=2 X4h=1  0  0  0  1 | 25   2 |   21   21 | -> TIER 2
    (15,1,0) e=3 X4h=1  0  0  1  1 | 24   2 |   21   20 | DEAD  (N_lo > N_hi)
    (15,1,0) e=3 X4h=1  1  0  0  1 | 23   3 |   22   20 | DEAD  (N_lo > N_hi)
    (15,1,0) e=4 X4h=1  0  0  2  1 | 23   2 |   20   20 | -> TIER 2
    (15,1,0) e=4 X4h=1  0  0  0  2 | 23   2 |   23   20 | DEAD  (N_lo > N_hi)
    (15,1,0) e=4 X4h=1  0  1  0  1 | 22   3 |   24   20 | DEAD  (N_lo > N_hi)
    (15,1,0) e=4 X4h=1  1  0  1  1 | 22   3 |   22   20 | DEAD  (N_lo > N_hi)
    (15,1,0) e=4 X4h=1  2  0  0  1 | 21   4 |   23   20 | DEAD  (N_lo > N_hi)
    (15,1,0) e=7 X4h=1  0  0  5  1 | 20   2 |   19   17 | DEAD  (N_lo > N_hi)
    (15,1,0) e=7 X4h=1  0  0  3  2 | 20   2 |   21   17 | DEAD  (N_lo > N_hi)
    (15,1,0) e=7 X4h=1  0  0  1  3 | 20   2 |   24   17 | DEAD  (N_lo > N_hi)
    (15,1,0) e=7 X4h=1  0  1  3  1 | 19   3 |   23   17 | DEAD  (N_lo > N_hi)
    (15,1,0) e=7 X4h=1  0  1  1  2 | 19   3 |   25   17 | DEAD  (N_lo > N_hi)
    (15,1,0) e=7 X4h=1  0  2  1  1 | 18   4 |   27   17 | DEAD  (N_lo > N_hi)
    (15,1,0) e=7 X4h=1  1  0  4  1 | 19   3 |   20   17 | DEAD  (N_lo > N_hi)
    (15,1,0) e=7 X4h=1  1  0  2  2 | 19   3 |   23   17 | DEAD  (N_lo > N_hi)
    (15,1,0) e=7 X4h=1  1  0  0  3 | 19   3 |   25   17 | DEAD  (N_lo > N_hi)
    (15,1,0) e=7 X4h=1  1  1  2  1 | 18   4 |   24   17 | DEAD  (N_lo > N_hi)
    (15,1,0) e=7 X4h=1  1  1  0  2 | 18   4 |   27   17 | DEAD  (N_lo > N_hi)
    (15,1,0) e=7 X4h=1  1  2  0  1 | 17   5 |   28   17 | DEAD  (N_lo > N_hi)
    (15,1,0) e=7 X4h=1  2  0  3  1 | 18   4 |   22   17 | DEAD  (N_lo > N_hi)
    (15,1,0) e=7 X4h=1  2  0  1  2 | 18   4 |   24   17 | DEAD  (N_lo > N_hi)
    (15,1,0) e=7 X4h=1  2  1  1  1 | 17   5 |   26   17 | DEAD  (N_lo > N_hi)
    (15,1,0) e=7 X4h=1  3  0  2  1 | 17   5 |   23   17 | DEAD  (N_lo > N_hi)
    (15,1,0) e=7 X4h=1  3  0  0  2 | 17   5 |   26   17 | DEAD  (N_lo > N_hi)
    (15,1,0) e=7 X4h=1  3  1  0  1 | 16   6 |   27   17 | DEAD  (N_lo > N_hi)
    (15,1,0) e=7 X4h=1  4  0  1  1 | 16   6 |   25   17 | DEAD  (N_lo > N_hi)
    (15,1,0) e=7 X4h=1  5  0  0  1 | 15   7 |   26   17 | DEAD  (N_lo > N_hi)
    (10,2,0) e=2 X4h=1  0  0  0  1 | 24   2 |   23   20 | DEAD  (N_lo > N_hi)
    (10,2,0) e=2 X4h=2  0  0  0  1 | 24   3 |   23   21 | DEAD  (N_lo > N_hi)
    150 censuses with c2 >= 1;  140 killed by the closed form;  10 go on.

[B] TIER 2: the 10 surviving censuses against the certified frontier
    cell            a2 a3 c1 c2 bq1 | blocks_rest lam cost_rest sh st |  F | verdict
    (20,0,0) e=2 X4h=0  0  0  0  1  0  |          26   1        13  0  0 | 19 | DEAD (Pareto 26 > 19)
    (20,0,0) e=3 X4h=0  0  0  1  1  0  |          25   1        12  0  0 | 19 | DEAD (Pareto 25 > 19)
    (20,0,0) e=4 X4h=0  0  0  2  1  0  |          24   1        11  0  0 | 17 | DEAD (Pareto 24 > 17)
    (20,0,0) e=4 X4h=0  1  0  1  1  0  |          25   2        12  1  1 | 21 | DEAD (Pareto 25 > 21)
    (20,0,0) e=4 X4h=0  1  0  1  1  1  |          24   1        10  1  0 | 15 | DEAD (Pareto 24 > 15)
    (20,0,0) e=5 X4h=0  0  0  3  1  0  |          23   1        10  0  0 | 16 | DEAD (Pareto 23 > 16)
    (20,0,0) e=6 X4h=0  0  0  4  1  0  |          22   1         9  0  0 | 15 | DEAD (Pareto 22 > 15)
