sol027.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol028.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol029.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol030.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol031.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol032.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol033.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol034.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol035.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol036.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol037.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol038.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol039.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol040.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol041.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol042.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol043.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol044.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol045.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol046.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol047.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol048.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol049.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol050.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol051.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol052.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol053.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol054.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol055.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol056.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol057.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol058.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol059.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol060.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol061.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol062.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
