15-e2 0 0 2 0 0 | 25 19 0 6 | 8 0 | 2 0
15-e2 0 0 2 0 0 | 25 20 1 5 | 8 0 | 2 0
15-e2 0 0 2 0 0 | 25 21 2 4 | 8 0 | 2 0
15-e2 0 0 2 0 0 | 25 20 0 5 | 8 0 | 2 0
15-e2 0 0 2 0 0 | 25 21 1 4 | 8 0 | 2 0
15-e2 0 0 2 0 0 | 25 21 0 4 | 8 0 | 2 0
15-e2 1 0 1 0 0 | 24 21 2 3 | 4 0 | 3 1
15-e2 1 0 1 0 0 | 24 20 0 4 | 4 0 | 3 1
15-e2 1 0 1 0 0 | 24 21 1 3 | 4 0 | 3 1
15-e2 1 0 1 0 0 | 24 21 0 3 | 4 0 | 3 1
15-e3 0 0 3 0 0 | 24 20 4 4 | 12 0 | 2 0
15-e3 0 0 3 0 0 | 24 19 2 5 | 12 0 | 2 0
15-e3 0 0 3 0 0 | 24 20 3 4 | 12 0 | 2 0
15-e3 0 0 3 0 0 | 24 18 0 6 | 12 0 | 2 0
15-e3 0 0 3 0 0 | 24 19 1 5 | 12 0 | 2 0
15-e3 0 0 3 0 0 | 24 20 2 4 | 12 0 | 2 0
15-e3 0 0 3 0 0 | 24 19 0 5 | 12 0 | 2 0
15-e3 0 0 3 0 0 | 24 20 1 4 | 12 0 | 2 0
15-e3 0 0 3 0 0 | 24 20 0 4 | 12 0 | 2 0
15-e3 1 0 2 0 0 | 23 20 1 3 | 8 0 | 3 1
15-e3 1 0 2 0 0 | 23 20 0 3 | 8 0 | 3 1
15-e4 0 0 4 0 0 | 23 20 5 3 | 16 0 | 2 0
15-e4 0 0 4 0 0 | 23 19 3 4 | 16 0 | 2 0
15-e4 0 0 4 0 0 | 23 20 4 3 | 16 0 | 2 0
15-e4 0 0 4 0 0 | 23 18 1 5 | 16 0 | 2 0
15-e4 0 0 4 0 0 | 23 19 2 4 | 16 0 | 2 0
15-e4 0 0 4 0 0 | 23 20 3 3 | 16 0 | 2 0
15-e4 0 0 4 0 0 | 23 18 0 5 | 16 0 | 2 0
15-e4 0 0 4 0 0 | 23 19 1 4 | 16 0 | 2 0
15-e4 0 0 4 0 0 | 23 20 2 3 | 16 0 | 2 0
15-e4 0 0 4 0 0 | 23 19 0 4 | 16 0 | 2 0
15-e4 0 0 4 0 0 | 23 20 1 3 | 16 0 | 2 0
15-e4 0 0 4 0 0 | 23 20 0 3 | 16 0 | 2 0
15-e4 1 0 3 0 0 | 22 20 2 2 | 12 0 | 3 1
15-e4 1 0 3 0 0 | 22 19 0 3 | 12 0 | 3 1
15-e4 1 0 3 0 0 | 22 20 1 2 | 12 0 | 3 1
15-e4 1 0 3 0 0 | 22 20 0 2 | 12 0 | 3 1
15-e7 0 0 7 0 0 | 20 17 2 3 | 28 0 | 2 0
15-e7 0 0 7 0 0 | 20 16 0 4 | 28 0 | 2 0
15-e7 0 0 7 0 0 | 20 17 1 3 | 28 0 | 2 0
15-e7 0 0 7 0 0 | 20 17 0 3 | 28 0 | 2 0
10-e2 0 0 2 0 0 | 24 21 2 3 | 8 0 | 3 0
10-e2 0 0 2 0 0 | 24 20 0 4 | 8 0 | 3 0
10-e2 0 0 2 0 0 | 24 21 1 3 | 8 0 | 3 0
10-e2 0 0 2 0 0 | 24 21 0 3 | 8 0 | 3 0
